CaseID,Dice,Sensitivity,Specificity
BraTS2021_00000,0.9374194420658041,0.9074426315328668,0.9998152343192941
BraTS2021_00002,0.7936520829102702,0.6664742856542878,0.999715590645552
BraTS2021_00003,0.971721217960045,0.9655377422181839,0.9997556848577044
BraTS2021_00005,0.9640442202425276,0.9357524662813896,0.999921278777973
BraTS2021_00006,0.9782233910438681,0.9709812850315803,0.9997770215978462
BraTS2021_00008,0.8975093545366881,0.831491712706732,0.9999556654901737
BraTS2021_00009,0.646581406787839,0.4788183440787969,0.9999930341359908
BraTS2021_00011,0.9575283524248477,0.9575829248830279,0.9996630094822461
BraTS2021_00012,0.9683009930132459,0.9577080387704378,0.999378476305519
BraTS2021_00014,0.1209197541444962,0.06436727670888358,0.9999988750953065
BraTS2021_00016,0.8448508077239159,0.7362836369488992,0.9999435248661134
BraTS2021_00017,0.9530550099252251,0.9226945716153421,0.9998469748652524
BraTS2021_00018,0.9570475169245728,0.9331785297403336,0.9996904581618382
BraTS2021_00019,0.8689317202301244,0.9721392756490714,0.9956797965806035
BraTS2021_00020,0.9455950593693748,0.9250012516478489,0.9997875526368214
BraTS2021_00021,0.5962632385783968,0.4292180147882109,0.9998942156913758
BraTS2021_00022,0.9300067766605847,0.8930490752462711,0.9996479884234352
BraTS2021_00024,0.9582958030013949,0.9595568303909316,0.9995049027655079
BraTS2021_00025,0.6969354941753739,0.5354910495138477,0.9999958415018776
BraTS2021_00026,0.8704449956571749,0.777307283805582,0.9999297686520674
BraTS2021_00028,0.8560740818246165,0.7702047540594162,0.9999303899119254
BraTS2021_00030,0.9539070094867355,0.9646428692497233,0.99922497197504
BraTS2021_00031,0.9146904850514598,0.8654293977351281,0.9993435459123129
BraTS2021_00032,0.9553534446044958,0.9265273330088459,0.9998687727434643
BraTS2021_00033,0.9432631318293785,0.9069226542945542,0.9997004857265749
BraTS2021_00035,0.9396828016890274,0.8983483246539113,0.9999415071668334
BraTS2021_00036,0.9624990709592882,0.9485494092544219,0.9995978791459795
BraTS2021_00043,0.9795829603442635,0.9810168255350054,0.9997550196895977
BraTS2021_00044,0.9656841977846138,0.9591247896123112,0.9999490538148808
BraTS2021_00045,0.9642167607820106,0.9713658964606695,0.9998329175010474
BraTS2021_00046,0.9698680318883947,0.9558475378785051,0.9999420971490649
BraTS2021_00048,0.9227133705437619,0.8853225635029245,0.9996779489691586
BraTS2021_00049,0.9716914095575651,0.9561059753482587,0.9998398151982785
BraTS2021_00051,0.9617955336101015,0.9853392932692286,0.9992156950787549
BraTS2021_00052,0.9493770410702069,0.9816278559944839,0.99838266210121
BraTS2021_00053,0.9569257611988753,0.9331788834028915,0.9997427342022532
BraTS2021_00054,0.9053451765470334,0.85913460581565,0.9995585393577389
BraTS2021_00056,0.9607443370442152,0.9407140737051846,0.9997918073176147
BraTS2021_00058,0.9168288218859616,0.8680773440347069,0.9999212411761457
BraTS2021_00059,0.9499157959856617,0.9217986559273499,0.9997412598861078
BraTS2021_00060,0.9645042839657083,0.9719976869281919,0.998795298186719
BraTS2021_00061,0.8584931432003338,0.8072852445536337,0.9998395920496915
BraTS2021_00062,0.9732727125111239,0.9643627119734076,0.9997553299229449
BraTS2021_00063,0.8785890811051722,0.7904034279243308,0.9999754022739071
BraTS2021_00064,0.9479946958892668,0.9339419872615569,0.9995816043688062
BraTS2021_00066,0.9740828264826542,0.9742212119644124,0.9998864925709433
BraTS2021_00068,0.9538811990228897,0.9205759447673583,0.9998802438670333
BraTS2021_00070,0.9743660827686379,0.9643315190688571,0.9997307120204466
BraTS2021_00071,0.9583715998463239,0.9357513967086655,0.9998225440974512
BraTS2021_00072,0.9436787430025495,0.9279552092164401,0.9996750510718729
BraTS2021_00074,0.965751224159679,0.9599447209619345,0.9994179303519527
BraTS2021_00077,0.9510236164927228,0.9570272490340153,0.9987440987531232
BraTS2021_00078,0.971210642751192,0.9573408910686133,0.9998916466570387
BraTS2021_00081,0.9691179065721526,0.9633862115629197,0.9997764515561018
BraTS2021_00084,0.931081461636164,0.9119725659757102,0.9996443939857318
BraTS2021_00085,0.8877982762304374,0.8050198287108361,0.999925654648668
BraTS2021_00087,0.9312707613568921,0.8918932694512355,0.9996854811587768
BraTS2021_00088,0.9627813286534337,0.948333266797002,0.9996919146335427
BraTS2021_00089,0.9554866316302009,0.948269965228026,0.9998555029318839
BraTS2021_00090,0.9646438545662848,0.9463409637936246,0.9998262812465839
BraTS2021_00094,0.9705865092675515,0.9674876847290044,0.9995159487085871
BraTS2021_00095,0.9684843546422348,0.9652113962812795,0.9992375372372214
BraTS2021_00096,0.9565257375993447,0.9588987134894222,0.9993760703215055
BraTS2021_00097,0.9446886492241373,0.9100169374267254,0.9999217877937406
BraTS2021_00098,0.5526813057926031,0.3845607459685979,0.9999473020868928
BraTS2021_00099,0.9166928638792267,0.8858048222623552,0.9995557468202362
BraTS2021_00100,0.9742292096611439,0.9848098877251539,0.9996013635382242
BraTS2021_00101,0.9773282988738189,0.9967428920402733,0.9997142873894517
BraTS2021_00102,0.0038529706403607512,0.0019302038295229073,0.999999999999999
BraTS2021_00103,0.947456964632232,0.9189305429312116,0.9994595784068067
BraTS2021_00104,0.9622095735746302,0.9626330248311735,0.9996760425319547
BraTS2021_00105,0.929539679281638,0.9676718430238974,0.9978312823989416
BraTS2021_00106,0.9487283900344072,0.959106399091211,0.9983614289782832
BraTS2021_00107,0.968749999999941,0.9604201589463514,0.9997901658085802
BraTS2021_00108,0.8820798742446773,0.9733707362685188,0.9980530163676948
BraTS2021_00109,0.9047860289617408,0.8313261985089235,0.9999039087968244
BraTS2021_00110,0.9668425833801441,0.9852545735066139,0.9994575241647288
BraTS2021_00111,0.9012615227428471,0.8207068611996242,0.999989725152392
BraTS2021_00112,0.9220177458334472,0.8794345565714947,0.9997072287120916
BraTS2021_00113,0.7734393638169744,0.6346244192721631,0.9999723274815321
BraTS2021_00115,0.9601752474558427,0.976392244681363,0.999449404652524
BraTS2021_00116,0.8228128189025624,0.9869996115772909,0.9920049846530314
BraTS2021_00117,0.8851081983611452,0.8013185056934407,0.9999207040844729
BraTS2021_00118,0.9612474358150825,0.9668774219864731,0.9992489388912984
BraTS2021_00120,0.9608696827928845,0.9701834862384262,0.9994901793029761
BraTS2021_00121,0.9269405384722245,0.9426933668580965,0.9993116044086198
BraTS2021_00122,0.952207257762702,0.928055422620057,0.9998952062663715
BraTS2021_00123,0.9457393979344991,0.9650402019739566,0.9980588169949653
BraTS2021_00124,0.8680558453690376,0.7679431544508128,0.9999718919590882
BraTS2021_00126,0.9616996563906189,0.9642850210601289,0.9992761108723213
BraTS2021_00127,0.9802024908313189,0.9827199566728738,0.9996993131194704
BraTS2021_00128,0.965319023816489,0.9935765031662774,0.9990237418212644
BraTS2021_00130,0.9589376166355319,0.9617323066227532,0.9992484959666881
BraTS2021_00131,0.9473057202218255,0.9603946046223081,0.9992114004367827
BraTS2021_00132,0.9338389044323026,0.9768409054150093,0.9982990759771437
BraTS2021_00133,0.9251954412733713,0.9183849011442671,0.9993935203195548
BraTS2021_00134,0.904674103125659,0.8444490931796179,0.999596932858591
BraTS2021_00136,0.9442337457796555,0.9123810523368122,0.9998701361946648
BraTS2021_00137,0.9597339098255775,0.9426503669581424,0.9995365910604276
BraTS2021_00138,0.9444985458638511,0.9282368055645072,0.9993443039238493
BraTS2021_00139,0.9282068907377143,0.8860825316642665,0.9997886344326253
BraTS2021_00140,0.9424473603903136,0.9220205397653917,0.999934913747248
BraTS2021_00142,0.9418735267583771,0.9127457726538469,0.9997452301645212
BraTS2021_00143,0.8450191351250785,0.9517903371601217,0.9944171254699017
BraTS2021_00144,0.9369766082314624,0.9589569055276922,0.9993614370959683
BraTS2021_00146,0.9473658720335536,0.9530586834126812,0.9987543576323749
BraTS2021_00147,0.9661995149367248,0.9487855244092509,0.9996962079578194
BraTS2021_00148,0.9139960948858864,0.9351378002956738,0.9992630662824288
BraTS2021_00149,0.8224294595885169,0.703814357043176,0.9999787725502334
BraTS2021_00150,0.9588078123007046,0.9490630984561937,0.9994328969724035
BraTS2021_00151,0.9211660025451953,0.9460493119572687,0.9976939385865565
BraTS2021_00152,0.9043176394010627,0.8564970203436637,0.9998139394158363
BraTS2021_00154,0.9419941807234816,0.9688609292418388,0.9989868107526072
BraTS2021_00155,0.020056700376583567,0.010129936741318972,0.999999999999999
BraTS2021_00156,0.9800071328172187,0.9964944715041777,0.9994053962706672
BraTS2021_00157,0.9398268945618985,0.9991690292303747,0.9994147686687771
BraTS2021_00158,0.9645082451522478,0.9576858203830104,0.9995186832358101
BraTS2021_00159,0.9595849342893732,0.9488887167969344,0.9996626512686658
BraTS2021_00160,0.9582792537204492,0.9957511139400863,0.9988226967435847
BraTS2021_00162,0.9548409062769353,0.9771928157366476,0.9997529346318755
BraTS2021_00165,0.9781994834253858,0.9814964013319125,0.9997876552714342
BraTS2021_00166,0.9652878736581679,0.9875612514133936,0.9993486857461377
BraTS2021_00167,0.9618852493010807,0.9426731916690877,0.9998794337287573
BraTS2021_00170,0.9617889709073032,0.9309852051105704,0.9999867478387736
BraTS2021_00171,0.906634761431925,0.8487790152681323,0.9998324884244979
BraTS2021_00172,0.9581371065321579,0.985958747467929,0.9988699996803271
BraTS2021_00176,0.96762265024893,0.9695912494584311,0.9994934495077005
BraTS2021_00177,0.9771545768709232,0.9825293176971626,0.9995132104188681
BraTS2021_00178,0.968784101442832,0.9721873331867231,0.9994957168887789
BraTS2021_00183,0.9749932760409017,0.9885852309249995,0.9993102339198272
BraTS2021_00184,0.9667160092246674,0.9737374254484638,0.9996398815530078
BraTS2021_00185,0.6678194924787837,0.5127655490145072,0.9998387003625735
BraTS2021_00186,0.9769223215162108,0.9767013002534789,0.9996962842144164
BraTS2021_00187,0.9792930434127376,0.9882306855785855,0.9994136094229928
