epoch,train_loss,seg_loss,kd_loss,feature_loss,all_dice_wt,all_dice_tc,all_dice_et,all_mean,drop_t1ce_dice_wt,drop_t1ce_dice_tc,drop_t1ce_dice_et,drop_t1ce_tc_et,full_constraint_met,learning_rate,elapsed_sec,successful_steps,skipped_nonfinite_steps
1,1910801.266763855,0.402057731943205,1910800.8012330323,0.038530085037053824,,,,,,,,,,5e-05,216.2568744000164,1000,0
2,1045037.7015605469,0.3515659322440624,1045037.2887519532,0.037527316445019096,,,,,,,,,,4.998111138789771e-05,213.53751500000362,1000,0
3,576319.7604433594,0.34314601532742384,576319.3464257813,0.035478106966707855,,,,,,,,,,4.9924474676461635e-05,219.01488259999314,1000,0
4,531389.2084785156,0.3467571390345693,531388.7877861328,0.03671919426391833,,,,,,,,,,4.9830177195395695e-05,220.89699060001294,1000,0
5,427247.4212607422,0.33047896360419693,427247.02873046877,0.03193369152653031,0.8629624324027229,0.8447552021392216,0.8102565692447365,0.8393247345955603,0.8534079758318682,0.5528379612797307,0.3827751520540179,0.4678065566668743,True,4.969836434458087e-05,587.170725599979,1000,0
6,483162.0611748047,0.33443860727362335,483161.65590625,0.03624204152286984,,,,,,,,,,4.952923936987914e-05,219.83638530000462,1000,0
7,485565.8356796875,0.33976786375790835,485565.42146777344,0.03806117778690532,,,,,,,,,,4.9323063049743075e-05,220.9716666000022,1000,0
8,450625.8155019531,0.3404343973044306,450625.40395410155,0.036091397974872964,,,,,,,,,,4.908015329311436e-05,210.18009509998956,1000,0
9,450669.04322558595,0.3392670455612242,450668.6280107422,0.03857651407783851,,,,,,,,,,4.880088464923127e-05,208.15234259999124,1000,0
10,448489.36030273436,0.33472048164345325,448488.95558300783,0.035568460310576484,0.8617446383074832,0.8387444119753449,0.8035739967474993,0.8346876823434425,0.8534062589118706,0.5496926718964792,0.3842260387381043,0.4669593553172917,True,4.848568773010087e-05,595.4062491999939,1000,0
11,418114.48925878905,0.3249469999652356,418114.09671679686,0.03431029572780244,,,,,,,,,,4.8135048546526525e-05,210.8684224000026,1000,0
12,434693.13496777345,0.32644715856947004,434692.7366982422,0.0365810528669972,,,,,,,,,,4.7749507758714496e-05,214.11968959998921,1000,0
13,410447.15656591795,0.3283625480644405,410446.75838232425,0.034605194276664406,,,,,,,,,,4.7329659842615016e-05,221.15043300000252,1000,0
14,402731.31304296874,0.32469582388736307,402730.91723046877,0.0354608731190674,,,,,,,,,,4.687615217328354e-05,224.78003300001728,1000,0
15,412876.5618144531,0.3249712305366993,412876.1657216797,0.03580599826737307,0.8630388878715192,0.8404770405912402,0.805121016816643,0.8362123150931341,0.853467351263503,0.5774054989549889,0.4093033419266515,0.49335442044082023,True,4.638968402667527e-05,613.6389146000147,1000,0
16,422933.7872578125,0.32948044120706615,422933.38701855467,0.03543865984631702,,,,,,,,,,4.587100550141237e-05,222.21750460000476,1000,0
17,379339.55317089846,0.3178550103288144,379339.1668623047,0.0337129188994877,,,,,,,,,,4.5320916362186225e-05,218.85009590000845,1000,0
18,400183.79762597656,0.3305341927167028,400183.39917382813,0.034703956238459795,,,,,,,,,,4.474026480657826e-05,212.6824515000044,1000,0
19,407457.61466503906,0.3300422725919634,407457.2153691406,0.03470238042902202,,,,,,,,,,4.412994615720077e-05,217.20086179999635,1000,0
20,390429.33329541015,0.3266239930409938,390428.93963085936,0.034418265297077595,0.8605164471543011,0.8361167292067776,0.8013268383596327,0.8326533382402371,0.8517317946026167,0.5585029857530528,0.39570683062023754,0.4771049081866452,True,4.349090148117431e-05,580.8461222999904,1000,0
21,416055.2224501953,0.3309697998575866,416054.8187167969,0.036411626019980756,,,,,,,,,,4.282411613907042e-05,216.84972249998827,1000,0
22,397972.80758691404,0.31846912146918477,397972.4180517578,0.035816536029800776,,,,,,,,,,4.213061826555708e-05,213.38404649999575,1000,0
23,371964.29662060546,0.315830505438149,371963.91142089845,0.034162687114439906,,,,,,,,,,4.141147718408951e-05,213.01895719999447,1000,0
24,405184.84995458985,0.32323336439579725,405184.4569882812,0.0355681586866267,,,,,,,,,,4.066780175809094e-05,233.56550619998598,1000,0
25,375120.6791352539,0.3225676299631596,375120.28793847654,0.03469492301903665,0.8621709019937407,0.8401820803369394,0.8055349413565868,0.8359626412290889,0.8539871062605655,0.5929219973185775,0.42742372976262755,0.5101728635406025,True,3.99007386811656e-05,587.6000474000175,1000,0
26,384049.39642041014,0.3252131376694888,384048.999484375,0.0358034112052992,,,,,,,,,,3.911147070898026e-05,224.53630130001693,1000,0
27,399515.89907910157,0.33067340672574935,399515.4942407227,0.03700198393315077,,,,,,,,,,3.830121483554075e-05,206.07219419998,1000,0
28,362388.2568027344,0.3134857479315251,362387.8755585938,0.03401093533681705,,,,,,,,,,3.747122041667541e-05,207.04723289998947,1000,0
29,392327.8310385742,0.32456904514878987,392327.43562353513,0.03573647667188198,,,,,,,,,,3.662276724361891e-05,211.85807509999722,1000,0
30,395402.80117333983,0.32201042251475154,395402.4090859375,0.03579523991420865,0.8633271195393766,0.8395500403916335,0.804459403884409,0.8357788546051398,0.8549406566163454,0.5922062689477545,0.43241085243750954,0.5123085606926321,True,3.5757163569667004e-05,588.5148874000006,1000,0
31,381484.48691210937,0.3186910741738975,381484.1003378906,0.0336375178094022,,,,,,,,,,3.487574409294472e-05,199.97024850000162,1000,0
32,396383.9274614258,0.32256131509318947,396383.5323774414,0.03625928913801908,,,,,,,,,,3.39798678983986e-05,197.54553130001295,1000,0
33,351333.63237597654,0.3139577849879861,351333.25321289065,0.03288659134414047,,,,,,,,,,3.307091636218623e-05,198.1380499000079,1000,0
34,413672.78545605467,0.33155658561736345,413672.3772006836,0.03839513405691832,,,,,,,,,,3.215029102169434e-05,197.40190999998595,1000,0
35,378045.5831635742,0.31507101553305983,378045.1982875977,0.034723256436176596,0.8622022265147883,0.838855386346243,0.8041530785508598,0.8350702304706304,0.8528878178151631,0.5835548372375265,0.4185252288301562,0.5010400330338414,True,3.1219411414469706e-05,535.2475788000156,1000,0
36,368859.8324477539,0.3186243663430214,368859.4440991211,0.03525135939428583,,,,,,,,,,3.0279712889395166e-05,197.55974630001583,1000,0
37,387876.9660600586,0.3177734024487436,387876.5766455078,0.03633296021446586,,,,,,,,,,2.9332644393485677e-05,198.10491859997273,1000,0
38,388813.7509790039,0.3226266860384494,388813.3558510742,0.0366508564222604,,,,,,,,,,2.8379666237717044e-05,197.61133970000083,1000,0
39,370374.7713413086,0.3147919145617634,370374.38605664065,0.035566567281261084,,,,,,,,,,2.7422247845332222e-05,198.3640649000008,1000,0
40,378991.20867773436,0.3216976868342608,378990.8154614258,0.035745501409750434,0.8615850585869741,0.8377907530678925,0.8028138886990474,0.8340632334513046,0.8532355290467425,0.6079050783316886,0.44724344598586896,0.5275742621587788,True,2.64618654860972e-05,536.477180899994,1000,0
41,384867.1869384766,0.31847831797227266,384866.79535595706,0.03634149295138195,,,,,,,,,,2.5500000000000017e-05,198.09228320000693,1000,0
42,387137.03769580077,0.3177389734145254,387136.64682666014,0.03638917068624869,,,,,,,,,,2.4538134513902842e-05,198.2405693999899,1000,0
43,400116.06327490235,0.3240914590600878,400115.6623222656,0.03875092658633366,,,,,,,,,,2.3577752154667818e-05,198.22554659997695,1000,0
44,367072.3257109375,0.3225352402310818,367071.9297182617,0.03653216325677931,,,,,,,,,,2.2620333762282996e-05,197.91526140001952,1000,0
45,402189.78937841795,0.3238524001091719,402189.3896513672,0.038168039745185525,0.8612058495030759,0.8378127070880357,0.8027204823723215,0.8339130129878111,0.8531608058652148,0.6054387545963965,0.44341619235446245,0.5244274734754295,True,2.1667355606514363e-05,536.038684900006,1000,0
46,362949.1714291992,0.3147710150592029,362948.7852939453,0.036306664645671845,,,,,,,,,,2.072028711060487e-05,198.44336630002363,1000,0
47,391470.9287587891,0.3248728115763515,391470.5282529297,0.037920505350455644,,,,,,,,,,1.978058858553033e-05,197.5852312000061,1000,0
48,355110.95887792966,0.31962563502788544,355110.57193017576,0.03414027155516669,,,,,,,,,,1.8849708978305685e-05,197.8373698000214,1000,0
49,362680.79741796874,0.3120794808920473,362680.41598583985,0.03484770536702126,,,,,,,,,,1.7929083637813798e-05,198.19563569998718,1000,0
50,364366.3484897461,0.3188941607810557,364365.9596147461,0.03507799014449119,0.8617183387645223,0.837022868488053,0.8024477543738238,0.8337296538754663,0.8525566377616601,0.5947074495161131,0.4339314292181606,0.5143194393671369,True,1.7020132101601433e-05,536.6523641000094,1000,0
51,373184.40497558593,0.3220785360634327,373184.009605957,0.03607460452755913,,,,,,,,,,1.6124255907055306e-05,197.86888910000562,1000,0
52,370092.71137646487,0.31625525691360235,370092.32228613284,0.03627025135047734,,,,,,,,,,1.5242836430333023e-05,197.86267860000953,1000,0
53,402231.33832373045,0.32230250522494314,402230.93997509766,0.03744370024232194,,,,,,,,,,1.4377232756381109e-05,198.800593699998,1000,0
54,379926.4854042969,0.3184344811346382,379926.09527929686,0.036784800447523594,,,,,,,,,,1.3528779583324605e-05,199.01485119998688,1000,0
55,351698.797378418,0.31625756795704363,351698.4127558594,0.03473190620960668,0.8621356526593005,0.838409803998212,0.8037827464157347,0.8347760676910824,0.8532781581790435,0.6002909561080445,0.438674091902973,0.5194825240055088,True,1.2698785164459258e-05,535.9855299000046,1000,0
56,372934.0729892578,0.3185710584819317,372933.6824624023,0.035641247613821175,,,,,,,,,,1.1888529291019747e-05,197.63327190000564,1000,0
57,357005.4533701172,0.31246763673238453,357005.07130224607,0.0352118193008937,,,,,,,,,,1.1099261318834413e-05,198.30803710001055,1000,0
58,374239.24443554686,0.31913794283382596,374238.854078125,0.035653481824323534,,,,,,,,,,1.0332198241909076e-05,197.56516430000192,1000,0
59,372342.8669555664,0.31746138972230253,372342.4756904297,0.03687865220103413,,,,,,,,,,9.588522815910505e-06,197.76317079999717,1000,0
