epoch,train_loss,learning_rate,elapsed_sec,val_dice_tc,val_dice_wt,val_dice_et,val_mean_dice,is_best
1,0.935551497399807,4.000000000000001e-06,189.26746579999963,,,,,False
2,0.9272699696421624,8.000000000000001e-06,167.05934170000182,,,,,False
3,0.9217312560081482,1.2e-05,166.83008499999778,,,,,False
4,0.9159611116051674,1.6000000000000003e-05,167.1835624000014,,,,,False
5,0.9082645543813705,2e-05,397.0939244000001,0.24361055021277075,0.49042570512505707,0.004418345540566004,0.24615153362613126,True
6,0.8983202508687973,2.4e-05,194.2521147999978,,,,,False
7,0.8844175295233726,2.8000000000000003e-05,167.75614119999955,,,,,False
8,0.8650012599229813,3.2000000000000005e-05,170.66364840000097,,,,,False
9,0.8383438246846199,3.6e-05,170.0558908999992,,,,,False
10,0.8012304050326348,4e-05,370.665563999999,0.4148015248191648,0.7214329164442516,0.32795187540881543,0.4880621055574106,True
11,0.7542460930049419,4.4000000000000006e-05,167.35989580000023,,,,,False
12,0.6908700351119041,4.8e-05,167.2285849999971,,,,,False
13,0.6170871738493443,5.2000000000000004e-05,167.2068055000018,,,,,False
14,0.5406733288615942,5.6000000000000006e-05,167.24319639999885,,,,,False
15,0.46650339272618296,6e-05,368.27756220000083,0.6595576425394662,0.7888750860702766,0.4908015759852272,0.64641143486499,True
16,0.39385731118172407,6.400000000000001e-05,166.96776330000284,,,,,False
17,0.3364550007432699,6.800000000000001e-05,167.19168870000067,,,,,False
18,0.2968066193945706,7.2e-05,167.5964939000005,,,,,False
19,0.2721099015548825,7.6e-05,184.69892850000178,,,,,False
20,0.25845222548022867,8e-05,478.494499299999,0.7802530052631624,0.80559871081444,0.7560518140282845,0.7806345100352957,True
21,0.24146765924617647,8.4e-05,218.51670939999894,,,,,False
22,0.23725873931124805,8.800000000000001e-05,193.91169720000107,,,,,False
23,0.23264046178013087,9.200000000000001e-05,215.13846380000177,,,,,False
24,0.23585729910060763,9.6e-05,209.5442366999996,,,,,False
25,0.23128402449190616,0.0001,410.8849954999969,0.7436175067947713,0.8100709577529968,0.7500816369614298,0.7679233671697325,False
26,0.219036379955709,9.9984209464165e-05,211.05656060000183,,,,,False
27,0.22184703582525253,9.993684783030088e-05,219.7477175999993,,,,,False
28,0.21433936489373445,9.98579450130307e-05,169.82850340000005,,,,,False
29,0.2106251762472093,9.974755084906502e-05,167.9168959000017,,,,,False
30,0.21168587599880995,9.96057350657239e-05,368.0567566999998,0.8422063227955716,0.8609823826881148,0.7967014413789957,0.833296715620894,True
31,0.21148172440752386,9.94325872368957e-05,167.38524459999826,,,,,False
