epoch,train_loss,val_loss,val_dice_wt,val_dice_tc,val_dice_et,learning_rate
1,0.6721403200030327,0.5235476332306862,0.7695344727157845,0.5618418488330598,0.6334296537653107,0.001
2,0.4040482956394553,0.366617723941803,0.7956995158902094,0.7070640117430949,0.7186706354948659,0.001
3,0.37104738783836366,0.429767304033041,0.7158909415393055,0.6613705847685276,0.7079291668599113,0.001
4,0.3615255476236343,0.38986398819088935,0.7953254438888706,0.6800553121098698,0.6954222547436529,0.001
5,0.33958707109838726,0.4488379274904728,0.6726381640548095,0.6411745018511954,0.6729076848955737,0.001
6,0.3288429218530655,0.40592195057868957,0.7002403524927265,0.6757862949647456,0.6755726074111935,0.001
7,0.31091813744977115,0.36432200828194616,0.7402854797801162,0.7201293339264676,0.7162521258364399,0.001
8,0.3093568428531289,0.3525501211732626,0.7846022705338135,0.7351418145008208,0.7129027352841631,0.001
9,0.30245717262476685,0.39695364816486833,0.6835058163545008,0.7278659104101693,0.7112217752394955,0.001
10,0.29571910404413937,0.35828714273124934,0.7417143623167421,0.7422257354287131,0.7145680441864392,0.001
11,0.29277810467407106,0.3863215397968888,0.6693133219560462,0.6868273406167503,0.6675064217974388,0.001
12,0.28309454169496895,0.33253261106461285,0.78078970018163,0.7651505199361633,0.742287123637634,0.001
13,0.2718880445882678,0.49449254488945005,0.6726934581333894,0.5815844223664436,0.6434737609488842,0.001
14,0.2751152157112956,0.3593589176014066,0.6914523420800199,0.7165274005265032,0.6945105590517548,0.001
15,0.26567598431929945,0.3434855630397797,0.7436911064955004,0.7514683474833105,0.7302940241717651,0.001
16,0.26466928888112307,0.34365474949777125,0.7322655317028112,0.7438985240953593,0.7121536049712642,0.001
17,0.2656759813167155,0.38400961572676895,0.649764503480016,0.6979373835396121,0.6762625951206228,0.001
18,0.25942340349406,0.32714775582402944,0.7457220945921099,0.7354654619695585,0.6998209003837235,0.001
19,0.2584847965501249,0.43888308158516887,0.5930223244011028,0.602345947268297,0.5803611103364419,0.001
20,0.25316427534073593,0.5266892364174127,0.45899886867825335,0.5202339297630343,0.5118681044049709,0.001
21,0.2505421639941633,0.37183217585086825,0.6869706222736432,0.6976021903542989,0.6642800932140067,0.001
22,0.2561822758093476,0.39649011224508285,0.6329562203413216,0.6843699272154339,0.6513576030180623,0.001
23,0.2502131679952145,0.33541122188791633,0.714038115653671,0.7531090597482889,0.7211282055573591,0.001
24,0.2459012899901718,0.38123322677612304,0.6541404697552301,0.7132239512399512,0.6769773219501506,0.001
25,0.24551267260685564,0.33533988261967895,0.7352864645335312,0.7394188823665637,0.716591417301951,0.001
26,0.2469350677654147,0.38223187109082934,0.6686566204656588,0.7094764027568192,0.6671952085150931,0.001
27,0.24707044884562493,0.3204975553378463,0.7623664787850192,0.7701412545308866,0.762053708369819,0.001
28,0.243484849691391,0.3076007668226957,0.7514094056085407,0.7565726428844599,0.7329725226776488,0.001
29,0.24625476910732685,0.31084122547507287,0.7432962169147133,0.7428041258075939,0.7180424681806312,0.001
30,0.23415534521825612,0.29175087320804594,0.7996471250345007,0.8055811669848636,0.776153344813669,0.001
31,0.23701299142837523,0.3440799445733428,0.7055416998795557,0.7235621293144826,0.7012102716698142,0.001
32,0.23557827365584671,0.34232816473394634,0.718343605343748,0.7136244307938715,0.680480968651574,0.001
33,0.2358036075923592,0.4070424659177661,0.6791726038972614,0.6975366299189903,0.7223712994301486,0.001
34,0.2330471775215119,0.34171426242589953,0.7302753767077311,0.7372322691859624,0.7164839012092831,0.001
35,0.234736515218392,0.32895316638052463,0.7233602116390518,0.7327942095312587,0.7073790713611572,0.001
36,0.22770985546149314,0.31244526866823435,0.7712918551337958,0.768222453298939,0.7336497850731826,0.001
37,0.229475547561422,0.34393840602040293,0.7058965552927896,0.7607247588393315,0.737819056438993,0.001
38,0.22914771300368011,0.29991477604210376,0.7562723279601707,0.7684331791390726,0.7445375948617093,0.001
39,0.22562462531588973,0.3506084720417857,0.7147343743383936,0.7581999149802899,0.7397407430653581,0.001
40,0.22792850860767067,0.3560483609512448,0.7148772888092377,0.7181273751873248,0.697946798715749,0.001
41,0.2282506244033575,0.320984897993505,0.7651458387081601,0.7756364161211333,0.753717331886157,0.001
42,0.22710368655249477,0.31213971725851297,0.7754905763960452,0.7619692775913527,0.7471703201463651,0.001
43,0.22869933719001712,0.8701894146203994,0.08241876427671974,0.09371143464963336,0.09314567764554031,0.001
44,0.22763337219133972,0.3269160132482648,0.7538596073845559,0.7683071363981668,0.7496086761901639,0.001
45,0.22278697989135982,0.3176691164299846,0.7721178531815254,0.7553006170672786,0.7582835648172654,0.001
46,0.2223064282592386,0.366307833250612,0.6907498436504842,0.702539510730399,0.6859799251289659,0.001
47,0.22621114767901598,0.3548512931615114,0.7427770974819329,0.7177604731509716,0.7268676917130462,0.001
48,0.2191412102356553,0.3602499948218465,0.7036072310004188,0.7121734685834694,0.6860924846434873,0.001
49,0.22191167480498553,0.3187649482563138,0.762585670940282,0.7592354371063129,0.7354824687703004,0.001
50,0.22065302310697735,0.3149723996296525,0.7539602959333637,0.7700266906916583,0.7447638582398693,0.001
51,0.22371672459691763,0.34521405589580534,0.702660086751868,0.726638626176602,0.7072269877155014,0.001
52,0.21922176128812135,0.29307472038269045,0.7730983177282452,0.7943031472836709,0.7697656078435947,0.001
53,0.22267759660445155,0.3452056061737239,0.7321808861956309,0.7491016781096667,0.7261574201943012,0.001
54,0.22716235421225428,0.349879206020385,0.7309176245207457,0.716327924329333,0.7053424487111459,0.001
55,0.21708458976633846,0.2773471288308501,0.8101336046867784,0.8035450421102518,0.7786009043473054,0.001
56,0.21377261266298592,0.30558564492315055,0.7627577565530784,0.7607000838118287,0.7417290156953878,0.001
57,0.22110437910817562,0.49221568497270346,0.5740320826373638,0.611478279598168,0.5885218820998069,0.001
58,0.22143707875348628,0.36943397667258976,0.713611337813961,0.7172840208791722,0.7006894547383269,0.001
59,0.21629568585567177,0.3158765107579529,0.7498774722671889,0.7538808986453026,0.7346391095333291,0.001
60,0.21696828419342637,0.3140473568663001,0.7586892627159036,0.7736162944988731,0.7445332844763373,0.001
61,0.2158025993835181,0.3248268109187484,0.7386480605595223,0.7629070629131394,0.7417444494537698,0.001
62,0.21711044853739442,0.3269291211515665,0.7493506491111852,0.7616733967354329,0.747201500627415,0.001
63,0.21233983257226646,0.2884914906844497,0.7798570770210684,0.7986265903701109,0.7759198621382846,0.001
64,0.21459760864265262,0.30746247339993715,0.7739275186952919,0.7855676197920141,0.7552384647806797,0.001
65,0.21271810186840595,0.291874861061573,0.7767299853126638,0.7897014098631191,0.7627978475071427,0.001
66,0.21440764362737535,0.36903223310783506,0.683449481901459,0.6905419121539492,0.6741981820303521,0.001
67,0.21292249023728071,0.3211902566514909,0.7343581889456497,0.7642325611814379,0.7405972249398702,0.001
68,0.2068375048842281,0.2967271265760064,0.7724443628365925,0.7945205903555688,0.7702784680616622,0.001
69,0.21051822835952044,0.2928180419392884,0.7804554438280606,0.797080556886671,0.779030793932615,0.001
70,0.21154107520356774,0.30183124654367566,0.7634084772534777,0.7710315127949761,0.7468967313797866,0.001
71,0.21058015047945083,0.31016911439597605,0.7504853530654042,0.7664599025382698,0.7450324439531316,0.001
72,0.21214857192710043,0.34409966418147087,0.7057989129986534,0.7509529347964597,0.7232469909521385,0.001
73,0.21607843556813897,0.32277438619360327,0.746685566345482,0.7488865335465128,0.715514498058047,0.001
74,0.20694913307763635,0.3354059103690088,0.7060503175858583,0.7361373508028074,0.7179053969099395,0.001
75,0.21099941293522714,0.36551540773361924,0.6644970809952826,0.6979211724001598,0.6656065324392765,0.001
76,0.214502061733976,0.4726032194197178,0.5760356421877041,0.5968668940884198,0.58491242877795,0.001
77,0.21059417857415974,0.32522407624870536,0.7342224271242517,0.7698350888226857,0.7424788985448314,0.001
78,0.20704951294511556,0.2811021800003946,0.7924128392261449,0.803277316796503,0.7776499368018136,0.001
79,0.20589938226528465,0.3435704527683556,0.7150445187872463,0.7299270435739733,0.7074638731576925,0.001
80,0.20606510175205767,0.30242234602943063,0.7617721420297208,0.7786748165940093,0.7533119973605439,0.001
81,0.20781056312285365,0.34268897962197664,0.720918535252522,0.7369355518050362,0.7174038166230874,0.001
82,0.20887530895136297,0.3158513333126903,0.7457301352597353,0.7476415527579843,0.7249365052106149,0.001
83,0.20970921697467565,0.3147535742148757,0.7393404386530296,0.7539891907946784,0.7271981502782474,0.001
84,0.2078740631453693,0.3626781894043088,0.7077166031526323,0.6942102419717149,0.6835456706279696,0.001
85,0.20588963291980325,0.4216981296092272,0.6243146251750852,0.6407094084506689,0.626328778840173,0.001
86,0.2106352381017059,0.47129968022555113,0.5490498313986744,0.5743272182295677,0.5582482890937208,0.001
87,0.2121173390429467,0.28901640538871287,0.7778518361432398,0.7972717762394874,0.7762762904855341,0.001
88,0.20516169646196067,0.3086771523058415,0.7577376687966477,0.771567858316041,0.7474342630331526,0.001
89,0.20818085804767908,0.4032095832750201,0.6288600582343157,0.6811386984258552,0.6623929111879634,0.001
90,0.20132811523973942,0.29951962107792496,0.7644214909030688,0.7746359177563249,0.7524850027519465,0.001
91,0.20375377771258354,0.28450269003212453,0.7859520736623976,0.8000427255840347,0.7749277692126574,0.001
92,0.2007905083373189,0.31051050394028423,0.7516652744260593,0.7664120483060514,0.7403603804629498,0.001
93,0.20202945643290876,0.3989182196110487,0.626115118412692,0.6482596111424623,0.6324486473794269,0.001
94,0.200576182320714,0.38040787921845914,0.6420858713931558,0.7298174086135032,0.7119697346686112,0.001
95,0.20792380533181132,0.270493190780282,0.8088861166765025,0.8099020176611818,0.7851799542437097,0.001
96,0.20545538217201828,0.3355828125998378,0.7059914590116956,0.7432155789795931,0.7182262307552197,0.001
97,0.20056946103088558,0.34173303166776897,0.7134426826406924,0.7484885957289182,0.7341032871055415,0.001
98,0.19882137542776762,0.32238641316443684,0.726349256880032,0.7495178160281245,0.7369102355338379,0.001
99,0.20657600637711585,0.322335052318871,0.7730391659544533,0.7601994126064644,0.7192916839653003,0.001
100,0.20224624285288156,0.29916711496189236,0.7630682754310047,0.7888921198384065,0.7608803787610532,0.001
