epoch,train_loss,seg_loss,kd_loss,feature_loss,all_dice_wt,all_dice_tc,all_dice_et,all_mean,drop_t1ce_dice_wt,drop_t1ce_dice_tc,drop_t1ce_dice_et,drop_t1ce_tc_et,full_constraint_met,learning_rate,elapsed_sec,successful_steps,skipped_nonfinite_steps
1,1892828.5977682495,0.4050201121196151,1892828.1297868348,0.0382328784855024,,,,,,,,,,5e-05,207.92271010001423,1000,0
2,1052626.9925195312,0.35605309963598847,1052626.574578125,0.037095009384909644,,,,,,,,,,4.998111138789771e-05,199.67288779999944,1000,0
3,571883.9755185547,0.34677093474939463,571883.5587910156,0.035035796199226754,,,,,,,,,,4.9924474676461635e-05,195.1801032999938,1000,0
4,525285.5654345703,0.3506395024172962,525285.1410722656,0.03623966709896922,,,,,,,,,,4.9830177195395695e-05,193.45246200001566,1000,0
5,421523.9348466797,0.3343202991914004,421523.53902050783,0.031414459550520406,0.8626129577260442,0.8439121456666923,0.8092605403328882,0.8385952145752081,0.8530169042494018,0.5518055521154389,0.3817810213426607,0.4667932867290498,True,4.969836434458087e-05,533.8633857000095,1000,0
6,477022.428046875,0.3378380719702691,477022.0202109375,0.035872111330740156,,,,,,,,,,4.952923936987914e-05,193.44127750000916,1000,0
7,473504.4310058594,0.3427545262146741,473504.0155517578,0.03740527210594155,,,,,,,,,,4.9323063049743075e-05,193.95232489999034,1000,0
8,444057.20703125,0.3438957001809031,444056.792296875,0.03571000189171172,,,,,,,,,,4.908015329311436e-05,194.29173519997858,1000,0
9,448188.30491796875,0.34368130181357265,448187.8852607422,0.03823963904171251,,,,,,,,,,4.880088464923127e-05,195.18617550001363,1000,0
10,442853.0262236328,0.3393967598937452,442852.61661621096,0.03527315200120211,0.8619860958594296,0.8395443350872464,0.8044986659660429,0.8353430323042397,0.8533060523446988,0.5537137609133397,0.3884184812735572,0.4710661210934485,True,4.848568773010087e-05,530.1986157000065,1000,0
11,411323.9421982422,0.3291596803497523,411323.54521875,0.034029807031387464,,,,,,,,,,4.8135048546526525e-05,195.01886729997932,1000,0
12,431380.9109394531,0.33016248047165575,431380.5087363281,0.03637719485466368,,,,,,,,,,4.7749507758714496e-05,194.32514480000827,1000,0
13,404846.6151665039,0.3311780603528023,404846.21544677735,0.034204774339916186,,,,,,,,,,4.7329659842615016e-05,195.52383759999066,1000,0
14,398379.99847802735,0.3277617366556078,398379.60044921876,0.035104638173012064,,,,,,,,,,4.687615217328354e-05,193.62453669999377,1000,0
15,408966.05710302736,0.32865060802176593,408965.65680273436,0.035579786254791544,0.8632720068791104,0.841331213302256,0.8061287358958195,0.8369106520257287,0.8538337714806739,0.5811784235664395,0.4131096916585997,0.49714405761251956,True,4.638968402667527e-05,532.443348300003,1000,0
16,415338.52527441405,0.3320245315246284,415338.1226904297,0.03504493142804131,,,,,,,,,,4.587100550141237e-05,194.88020309997955,1000,0
17,374966.61343066406,0.32210359172523023,374966.22365283204,0.03344132092874497,,,,,,,,,,4.5320916362186225e-05,196.2589791000064,1000,0
18,391260.7536030273,0.3332527023795992,391260.35213378904,0.03430348654882982,,,,,,,,,,4.474026480657826e-05,201.40966859998298,1000,0
19,400158.2612441406,0.3337604103498161,400157.8593056641,0.034267345551867036,,,,,,,,,,4.412994615720077e-05,202.21250260001398,1000,0
20,383386.11391064455,0.3296265949290246,383385.7173222656,0.034046779742930085,0.8608958895830708,0.8362155080398136,0.801284230471853,0.8327985426982458,0.8520447744139688,0.5602145580926293,0.3974547375915912,0.4788346478421103,True,4.349090148117431e-05,575.711945100018,1000,0
21,410739.0835712891,0.3342798864170909,410738.6768916016,0.03614228214230388,,,,,,,,,,4.282411613907042e-05,203.70095450000372,1000,0
22,391564.34401904297,0.3214400038346648,391563.952112793,0.035431072692852464,,,,,,,,,,4.213061826555708e-05,199.0677674000035,1000,0
23,367202.01349902345,0.31874816851131615,367201.6256796875,0.03379546321881935,,,,,,,,,,4.141147718408951e-05,199.01975160001894,1000,0
24,398239.09621875,0.3262369414530695,398238.70077441406,0.0351087329108268,,,,,,,,,,4.066780175809094e-05,200.12843829998747,1000,0
