epoch,train_loss,seg_loss,kd_loss,all_dice_wt,all_dice_tc,all_dice_et,all_mean,drop_t1ce_dice_wt,drop_t1ce_dice_tc,drop_t1ce_dice_et,drop_t1ce_tc_et,full_constraint_met,learning_rate,elapsed_sec,successful_steps,skipped_nonfinite_steps
1,0.3905600585471839,0.3854068717975169,0.005153186890228198,,,,,,,,,,5e-05,278.5967625999983,1000,0
2,0.34013360243663193,0.3370942074097693,0.0030393950511679577,,,,,,,,,,4.998111138789771e-05,261.55795260000014,1000,0
3,0.3239342874381691,0.3214439510256052,0.002490336600516457,,,,,,,,,,4.9924474676461635e-05,261.2581816999991,1000,0
4,0.3226443042587489,0.3201806368175894,0.002463667551339313,,,,,,,,,,4.9830177195395695e-05,260.47084769999856,1000,0
5,0.3065647453907877,0.3042387465070933,0.002325998526230251,0.8786792444776015,0.8803352987967944,0.8375475956183748,0.8655207129642569,0.8693180847105364,0.6469196765337114,0.4799515297716108,0.5634356031526611,True,4.969836434458087e-05,603.1837159999995,1000,0
6,0.30749085117690267,0.3050589037183672,0.00243194710266107,,,,,,,,,,4.952923936987914e-05,259.919488800002,1000,0
7,0.31057659831270573,0.30815642673149707,0.002420171039793786,,,,,,,,,,4.9323063049743075e-05,259.7456467999982,1000,0
8,0.30995917547121643,0.3075553676169366,0.0024038074434174633,,,,,,,,,,4.908015329311436e-05,259.5556410999998,1000,0
9,0.30966282567195597,0.30723996032960715,0.002422865298580291,,,,,,,,,,4.880088464923127e-05,259.3225859999984,1000,0
10,0.3059321857728064,0.3035098826140165,0.0024223032820118533,0.8834099448567011,0.8810694208363645,0.8402608504160747,0.8682467387030468,0.874957316269501,0.6632037588209522,0.5022691234390367,0.5827364411299945,True,4.848568773010087e-05,601.1013722999996,1000,0
11,0.29443203898519277,0.2921582416091114,0.002273797283683962,,,,,,,,,,4.8135048546526525e-05,269.0902713999967,1000,0
