epoch,train_loss,seg_loss,kd_loss,all_dice_wt,all_dice_tc,all_dice_et,all_mean,drop_t1ce_dice_wt,drop_t1ce_dice_tc,drop_t1ce_dice_et,drop_t1ce_tc_et,full_constraint_met,learning_rate,elapsed_sec,successful_steps,skipped_nonfinite_steps
1,0.35859598334878684,0.35549891721643506,0.003097066465534226,,,,,,,,,,5e-05,277.393029800005,1000,0
2,0.3305152747109532,0.32791357816942035,0.0026016964078953604,,,,,,,,,,4.998111138789771e-05,271.2458336999989,1000,0
3,0.3210369050577283,0.31855114647001026,0.00248575838049328,,,,,,,,,,4.9924474676461635e-05,270.9590065999946,1000,0
4,0.3224454630985856,0.3199555248077959,0.0024899380989681958,,,,,,,,,,4.9830177195395695e-05,270.4326822999865,1000,0
5,0.3084769516866654,0.306094531763345,0.0023824194554999847,0.8854644208508459,0.8668414414781288,0.8388230561710607,0.8637096395000118,0.8712388886543888,0.6531643775711409,0.4835558323243261,0.5683601049477335,True,4.969836434458087e-05,603.2840259000077,1000,0
6,0.3076779320370406,0.30526350618712605,0.002414426023372471,,,,,,,,,,4.952923936987914e-05,270.091407800006,1000,0
7,0.3103411139789969,0.3079400631636381,0.0024010507536168005,,,,,,,,,,4.9323063049743075e-05,269.86157530001947,1000,0
8,0.3137494390886277,0.31135942148789764,0.0023900176048446157,,,,,,,,,,4.908015329311436e-05,270.05939379998017,1000,0
9,0.31473592396080496,0.31231256492622195,0.0024233595854548182,,,,,,,,,,4.880088464923127e-05,269.2816651999892,1000,0
10,0.3095368057861924,0.3071176464855671,0.0024191595301508643,0.8892811794795786,0.8738220207667518,0.8430304014524136,0.868711200566248,0.8762794230849461,0.6666317409996968,0.5005927245231202,0.5836122327614085,True,4.848568773010087e-05,606.6357661999937,1000,0
11,0.2980396387130022,0.29574877517297865,0.002290863711759812,,,,,,,,,,4.8135048546526525e-05,273.4486658000096,1000,0
12,0.2997000737376511,0.29737314383126795,0.002326929999031563,,,,,,,,,,4.7749507758714496e-05,269.96177439999883,1000,0
13,0.3013800148293376,0.2991020344085991,0.002277980499245132,,,,,,,,,,4.7329659842615016e-05,270.6630008999782,1000,0
14,0.2978849435653538,0.2957103466037661,0.00217459705485453,,,,,,,,,,4.687615217328354e-05,270.1597836999863,1000,0
15,0.29987938835844397,0.297556070368737,0.0023233180210218054,0.8912315396359245,0.8787871722372024,0.8450638089670313,0.8716941736133861,0.8773694615692628,0.6731167782214948,0.4985102001861965,0.5858134892038457,True,4.638968402667527e-05,601.7520820999925,1000,0
16,0.300161706591025,0.2978847461566329,0.0022769604013456045,,,,,,,,,,4.587100550141237e-05,270.35068419997697,1000,0
17,0.29104965561255813,0.2888695491012186,0.002180106139850068,,,,,,,,,,4.5320916362186225e-05,270.9239110999915,1000,0
18,0.29864455689303576,0.296396425973624,0.0022481304725479275,,,,,,,,,,4.474026480657826e-05,270.39086909999605,1000,0
19,0.3007892470676452,0.2985031398329884,0.002286106929512243,,,,,,,,,,4.412994615720077e-05,270.4460191000253,1000,0
20,0.29459813134372237,0.2924229058176279,0.0021752258723754495,0.8907711653377217,0.8812144457918893,0.8478444827654975,0.8732766979650362,0.8754486200623889,0.6549402272743927,0.4900800195993404,0.5725101234368666,True,4.349090148117431e-05,602.9985798000125,1000,0
21,0.29976672497950496,0.2974981892593205,0.0022685358852022547,,,,,,,,,,4.282411613907042e-05,270.61699999999837,1000,0
22,0.2900706624630839,0.287832096606493,0.002238565562763142,,,,,,,,,,4.213061826555708e-05,271.8435846999928,1000,0
23,0.2859769461136311,0.2838518473599106,0.002125098949146377,,,,,,,,,,4.141147718408951e-05,272.06317589999526,1000,0
24,0.2915586825404316,0.28931226900964974,0.002246412952456012,,,,,,,,,,4.066780175809094e-05,271.27364440000383,1000,0
25,0.2924188185092062,0.2902475180365145,0.0021713006674617644,0.8929005668531381,0.8824673597307158,0.8451172775411498,0.8734950680416679,0.8788987182471638,0.6781339044995792,0.5152138304713025,0.5966738674854408,True,3.99007386811656e-05,605.5141120000044,1000,0
26,0.29205132683552804,0.28987265114113686,0.002178675872703934,,,,,,,,,,3.911147070898026e-05,270.38585270001204,1000,0
27,0.29755932968109844,0.29536305446736516,0.0021962751137052693,,,,,,,,,,3.830121483554075e-05,269.71827300000587,1000,0
28,0.2817960594855249,0.2796780596897006,0.0021179999308351396,,,,,,,,,,3.747122041667541e-05,271.12930249999044,1000,0
29,0.29378863201849165,0.2915114381276071,0.002277194243160011,,,,,,,,,,3.662276724361891e-05,270.22549510002136,1000,0
30,0.29010117414966224,0.2878911773301661,0.002209996341164697,0.8923850130562124,0.882991259277412,0.8469180558052918,0.8740981093796387,0.8790626031688723,0.6775928029594814,0.5157565103494685,0.5966746566544749,True,3.5757163569667004e-05,602.4901680999901,1000,0
31,0.28636681504175066,0.28425485622882846,0.0021119584234265856,,,,,,,,,,3.487574409294472e-05,270.8894097000011,1000,0
32,0.29003971728123723,0.2878295895326883,0.002210127597794781,,,,,,,,,,3.39798678983986e-05,270.08234960000846,1000,0
33,0.2806241068188101,0.27852999766170977,0.0020941096294191082,,,,,,,,,,3.307091636218623e-05,271.4040764000092,1000,0
34,0.2978773608449847,0.29556147896684704,0.002315881358266779,,,,,,,,,,3.215029102169434e-05,269.5088770999864,1000,0
35,0.2839239299688488,0.2817478976417333,0.002176032686259532,0.8919536477784069,0.8842835705377023,0.8557716716431486,0.8773362966530859,0.8809333330954289,0.6795366237968882,0.5123621197862603,0.5959493717915743,True,3.1219411414469706e-05,603.0348331999849,1000,0
36,0.2826259320024401,0.28052548170275987,0.002100450022854602,,,,,,,,,,3.0279712889395166e-05,270.2815884000156,1000,0
37,0.2851453602425754,0.2829559088330716,0.00218945134986825,,,,,,,,,,2.9332644393485677e-05,270.3059137999953,1000,0
38,0.2897345612607896,0.287540165880695,0.0021943955272408855,,,,,,,,,,2.8379666237717044e-05,270.1375368000008,1000,0
39,0.2803905064016581,0.2782564051244408,0.002134100928567932,,,,,,,,,,2.7422247845332222e-05,270.62265710000065,1000,0
40,0.287631776496768,0.2855048365816474,0.0021269395763793,0.8940941262853254,0.8853376207034023,0.8473813132286241,0.8756043534057838,0.8815399284881068,0.6827992553025416,0.5226762635022935,0.6027377594024175,True,2.64618654860972e-05,602.6383204999729,1000,0
41,0.2872180829849094,0.28504495503753424,0.002173127753895642,,,,,,,,,,2.5500000000000017e-05,270.1653881999955,1000,0
42,0.28641031081601975,0.2842209363654256,0.0021893741730727927,,,,,,,,,,2.4538134513902842e-05,270.34443650001776,1000,0
43,0.2929459147248417,0.2907117290180177,0.0022341856058392296,,,,,,,,,,2.3577752154667818e-05,269.60102760000154,1000,0
44,0.2884427981581539,0.28628794456832113,0.002154853945448849,,,,,,,,,,2.2620333762282996e-05,270.5874846999941,1000,0
45,0.2909675150196999,0.2887326665651053,0.0022348482668267024,0.8932926539664175,0.8856502907362249,0.8469200404369923,0.8752876617132116,0.8802556659852161,0.6839594593348983,0.5233835317856244,0.6036714955602613,True,2.1667355606514363e-05,602.1969691999839,1000,0
46,0.2852577425055206,0.283133121047169,0.002124621604987624,,,,,,,,,,2.072028711060487e-05,270.4894357000012,1000,0
47,0.2900422697328031,0.28785740046203134,0.002184868421078136,,,,,,,,,,1.978058858553033e-05,270.0420357999974,1000,0
48,0.2830434988234192,0.28095092491060497,0.0020925739777558194,,,,,,,,,,1.8849708978305685e-05,271.18657960000564,1000,0
49,0.2747889091931284,0.2727053770814091,0.0020835317262799437,,,,,,,,,,1.7929083637813798e-05,270.8803220000118,1000,0
50,0.28465431280061604,0.2824928614012897,0.002161451524232689,0.8937320149508228,0.8860569812747938,0.8484058447668479,0.8760649469974883,0.8819909750201907,0.6875104306122115,0.529362141878558,0.6084362862453847,True,1.7020132101601433e-05,603.2438227000239,1000,0
