epoch,train_loss,seg_loss,kd_loss,feature_loss,val_dice_wt,val_dice_tc,val_dice_et,selection_tc_et,learning_rate,elapsed_sec
1,0.5663836232796311,0.3707898356579244,0.07593878864729776,0.2393099951595068,,,,,0.0001,199.04492359999858
2,0.5522231622859836,0.3695363433472812,0.07293111604894512,0.21951140577346087,,,,,0.0001,193.4371819999942
3,0.5357898096442223,0.3616755350716412,0.06778064297139645,0.21266726379469036,,,,,0.0001,192.85426619999635
4,0.5317246372550726,0.3609452023357153,0.06730301006161608,0.20695284828543664,,,,,0.0001,192.63202230000024
5,0.5356758928000926,0.36483727091923357,0.0681233352990821,0.20543057488650082,0.7084979974227953,0.4097554400733382,0.28421414501183506,0.34698479254258663,0.0001,350.24786270000186
6,0.5346383840292692,0.36458826885931195,0.06759889415488578,0.20490244324877857,,,,,0.0001,218.9420597999997
7,0.52445212610811,0.3595567970946431,0.06593752685911022,0.19791560383886098,,,,,0.0001,217.52347940000618
8,0.5095501215830446,0.3495300958827138,0.06484312442480586,0.1903538023158908,,,,,0.0001,223.07493789999717
9,0.5166625528931618,0.3578829630315304,0.06574364228453487,0.18607189454883338,,,,,0.0001,211.50273590000143
10,0.5209039812460542,0.3599350785203278,0.0670922948278021,0.1877532147578895,0.7027071190808107,0.4225401059434863,0.2604486231013759,0.3414943645224311,0.0001,351.20442719999846
11,0.5035643599033356,0.3511538327038288,0.06210095509374514,0.18061914398521184,,,,,0.0001,193.17782190000435
12,0.5077700518667698,0.3550143212042749,0.06265242618881166,0.1802066082023084,,,,,0.0001,193.268201400002
13,0.4959610116183758,0.3479300463721156,0.05905483906180598,0.17795225125178696,,,,,0.0001,193.18547960000433
14,0.5000621989965439,0.35024961468949917,0.06202560096699745,0.17557396622747182,,,,,0.0001,192.7179896000016
15,0.499864575330168,0.3506452503502369,0.06286327299242839,0.1727121056690812,0.6914706938396294,0.4095035183640801,0.2801254776641041,0.34481449801409214,0.0001,352.6087936999975
16,0.5063234067037702,0.3545904094465077,0.06394279307569377,0.1755804077796638,,,,,0.0001,192.07994089999556
17,0.4979222243279219,0.34991716661676764,0.06268140135169961,0.17064731276407838,,,,,0.0001,192.9643219999998
18,0.49341265250742433,0.34711185191944244,0.06088759790477343,0.17082640588283537,,,,,0.0001,195.61195160000352
19,0.501532177336514,0.3511618503611535,0.06344257896952331,0.17385549581050871,,,,,0.0001,196.89919170000212
20,0.49922137293219565,0.3534719136431813,0.06095080781239085,0.1695973017551005,0.7250839169042186,0.4160389368805123,0.23452578263550547,0.3252823597580089,0.0001,377.34584950000135
