epoch,step,global_step,mask_category,availability_mask,total_loss,seg_loss,kd_loss,feature_loss,learning_rate
1,1,1,drop_t1ce,1011,0.8046749234199524,0.7730761170387268,0.00820833444595337,0.04678093641996384,5e-05
1,2,2,full_anchor,1111,0.04734116047620773,0.04732710123062134,1.0118717000295874e-05,7.881032615841832e-06,5e-05
1,3,3,full_anchor,1111,0.14318089187145233,0.14301207661628723,0.00015344700659625232,3.073800326092169e-05,5e-05
1,4,4,full_anchor,1111,0.07181879878044128,0.0717364177107811,4.1298924770671874e-05,8.216348214773461e-05,5e-05
1,5,5,drop_t1ce,1011,0.3061591684818268,0.23487524688243866,0.033644381910562515,0.07527905702590942,5e-05
1,6,6,drop_t1ce,1011,0.7106683254241943,0.6814130544662476,0.009485279209911823,0.03953992947936058,5e-05
1,7,7,random_subset,0001,1.2391942739486694,0.5846683979034424,0.3009911775588989,0.7070693969726562,5e-05
1,8,8,full_anchor,1111,0.3123880624771118,0.31223881244659424,9.663568926043808e-05,0.00010517935879761353,5e-05
1,9,9,full_anchor,1111,0.15708428621292114,0.1568882167339325,0.00012469540524762124,0.00014274506247602403,5e-05
1,10,10,full_anchor,1111,0.09034909307956696,0.08994203060865402,0.0003233507159166038,0.00016743093146942556,5e-05
1,11,11,drop_t1ce,1011,0.6599042415618896,0.5322529673576355,0.034806687384843826,0.18568921089172363,5e-05
1,12,12,drop_t1ce,1011,0.26469117403030396,0.18321461975574493,0.03270706534385681,0.09753897786140442,5e-05
1,13,13,drop_t1ce,1011,0.662322998046875,0.6248989701271057,0.01835312508046627,0.03814190253615379,5e-05
1,14,14,drop_t1ce,1011,1.2938807010650635,1.2459368705749512,0.02303093671798706,0.04982566833496094,5e-05
1,15,15,full_anchor,1111,0.07620075345039368,0.07593631744384766,0.00017595896497368813,0.0001769465598044917,5e-05
1,16,16,full_anchor,1111,0.1281241625547409,0.1279033124446869,0.00011644023470580578,0.00020881900854874402,5e-05
1,17,17,full_anchor,1111,0.24927090108394623,0.24916240572929382,3.992340134573169e-05,0.000137152019306086,5e-05
1,18,18,random_subset,0001,1.1023445129394531,0.657494306564331,0.1273369938135147,0.6350263357162476,5e-05
1,19,19,full_anchor,1111,0.28842267394065857,0.2882276177406311,7.876731979195029e-05,0.00023256072017829865,5e-05
1,20,20,full_anchor,1111,0.12216807156801224,0.121971994638443,9.194521408062428e-05,0.00020826273248530924,5e-05
1,21,21,random_subset,1001,0.5628874897956848,0.43027400970458984,0.04733137786388397,0.17056415975093842,5e-05
1,22,22,full_anchor,1111,0.0429408997297287,0.042533911764621735,0.00023322379274759442,0.0003475281991995871,5e-05
1,23,23,full_anchor,1111,0.4582509994506836,0.4577983021736145,0.0003284908889327198,0.00024842951097525656,5e-05
1,24,24,full_anchor,1111,0.1945722997188568,0.19409941136837006,0.00030606333166360855,0.00033363146940246224,5e-05
1,25,25,full_anchor,1111,0.6153748035430908,0.6150489449501038,0.0001720235450193286,0.0003076664579566568,5e-05
1,26,26,full_anchor,1111,0.6584300398826599,0.6570892930030823,0.0011981118004769087,0.0002852572069969028,5e-05
1,27,27,drop_t1ce,1011,0.8627798557281494,0.8110880255699158,0.028920598328113556,0.04554248973727226,5e-05
1,28,28,full_anchor,1111,0.3560922145843506,0.3556722104549408,0.0002928034227807075,0.00025438671582378447,5e-05
1,29,29,random_subset,0010,0.72486811876297,0.39521652460098267,0.11025737226009369,0.43878841400146484,5e-05
1,30,30,random_subset,1011,0.6729037761688232,0.5874953269958496,0.036668796092271805,0.09747930616140366,5e-05
1,31,31,drop_t1ce,1011,0.6881728172302246,0.6553168296813965,0.013747434131801128,0.038217078894376755,5e-05
1,32,32,full_anchor,1111,0.49321362376213074,0.4915113151073456,0.0015599775360897183,0.0002847003343049437,5e-05
1,33,33,full_anchor,1111,0.4424765408039093,0.44209882616996765,0.00022866300423629582,0.00029807916143909097,5e-05
1,34,34,full_anchor,1111,0.03549341857433319,0.03475170210003853,0.000506261014379561,0.00047091185115277767,5e-05
1,35,35,full_anchor,1111,0.07664167135953903,0.0761430636048317,0.0002931961789727211,0.0004108236753381789,5e-05
1,36,36,full_anchor,1111,0.04361214116215706,0.0431814081966877,0.0002170914231101051,0.000427283433964476,5e-05
1,37,37,full_anchor,1111,0.027032233774662018,0.026368238031864166,0.00035718001890927553,0.0006136283045634627,5e-05
1,38,38,full_anchor,1111,0.3611912131309509,0.36080896854400635,0.00017084630962926894,0.00042275243322364986,5e-05
1,39,39,drop_t1ce,1011,0.6897813081741333,0.5403215885162354,0.09983323514461517,0.09925293177366257,5e-05
1,40,40,full_anchor,1111,0.09750029444694519,0.09625817835330963,0.0009398451657034457,0.0006045426707714796,5e-05
1,41,41,full_anchor,1111,0.09187889099121094,0.09136025607585907,0.00027767205028794706,0.0004819151945412159,5e-05
1,42,42,full_anchor,1111,0.22241082787513733,0.22100484371185303,0.0010969014838337898,0.0006181555218063295,5e-05
1,43,43,full_anchor,1111,0.715499758720398,0.7147914171218872,0.000541914370842278,0.00033288481063209474,5e-05
1,44,44,random_subset,1011,0.5674694776535034,0.525791585445404,0.016444925218820572,0.05046591907739639,5e-05
1,45,45,drop_t1ce,1011,0.9010268449783325,0.6181209087371826,0.22950832545757294,0.10679516941308975,5e-05
