epoch,train_loss,seg_loss,kd_loss,skipped_steps,all_dice_wt,all_dice_tc,all_dice_et,all_mean_dice,drop_t1ce_dice_wt,drop_t1ce_dice_tc,drop_t1ce_dice_et,drop_t1ce_tc_et_mean,all_baseline,all_constraint,eligible_for_best,best_drop_t1ce_tc_et_mean,learning_rate,epoch_time_sec
1,0.47177420811355114,0.4207370494008064,0.0510371588562225,0,0.8687142994459846,0.8487982805901365,0.8184820524881748,0.8453315441747652,0.8554526187772704,0.5922971002948823,0.4025094503496488,0.4974032753222655,0.7817196060643531,0.7582680178824225,1,0.4974032753222655,4.998111138789771e-05,1247.35371689999
2,0.4393711163923144,0.3992386025711894,0.04013251429742377,0,0.8698295722107989,0.8485567916170961,0.8174768278293467,0.845287730552414,0.852968992251665,0.593869732605913,0.4121393350672602,0.5030045338365866,0.7817196060643531,0.7582680178824225,1,0.5030045338365866,4.9924474676461635e-05,1211.5896233000094
3,0.42042810272052883,0.38260199151560664,0.037826111276426676,0,0.8776471038435144,0.8614941204348325,0.8305740997299043,0.8565717746694171,0.8599700052974727,0.6310814942775548,0.4406984171270958,0.5358899557023253,0.7817196060643531,0.7582680178824225,1,0.5358899557023253,4.9830177195395695e-05,1221.024393700005
4,0.4277206178158522,0.39275424319691954,0.03496637502366684,0,0.8789488610666554,0.863464253051788,0.8340526339482318,0.858821916022225,0.862083418499897,0.6242725013043672,0.44320919951947335,0.5337408504119203,0.7817196060643531,0.7582680178824225,1,0.5358899557023253,4.969836434458087e-05,1242.5793965000194
5,0.4111325588934123,0.37795969846472144,0.03317286140482247,0,0.8813211901792274,0.8690656152185045,0.8380012202267065,0.8627960085414794,0.863109709903075,0.6398126758392828,0.46107869544339397,0.5504456856413384,0.7817196060643531,0.7582680178824225,1,0.5504456856413384,4.952923936987914e-05,1223.374725600006
6,0.41820381610840557,0.38488813035935165,0.03331568618372603,0,0.8812169862456538,0.8677969616153232,0.8370479110512032,0.8620206196373935,0.866026253232523,0.619901347197156,0.44395776380560353,0.5319295555013798,0.7817196060643531,0.7582680178824225,1,0.5504456856413384,4.9323063049743075e-05,1221.5335956999916
7,0.4154174100793898,0.3802152524068952,0.03520215783259118,0,0.8831366540270278,0.8700462069281102,0.8388096148253275,0.8639974919268218,0.8661460000165365,0.6424690129609778,0.46468982647250395,0.5535794197167409,0.7817196060643531,0.7582680178824225,1,0.5535794197167409,4.908015329311436e-05,1224.2347219000221
8,0.3986448980122805,0.365628034953028,0.03301686292665545,0,0.8845129800360532,0.8726623698016743,0.8392856488175597,0.8654869995517623,0.8675592587252593,0.6418920655463346,0.46381311352544513,0.5528525895358899,0.7817196060643531,0.7582680178824225,1,0.5535794197167409,4.880088464923127e-05,1225.6027020999463
9,0.40127568241208794,0.3677543242573738,0.033521358145681,0,0.8822294539863745,0.872253907638088,0.8396599606013343,0.8647144407419322,0.8661633936957479,0.6389366174031672,0.45989935989798864,0.5494179886505779,0.7817196060643531,0.7582680178824225,1,0.5535794197167409,4.848568773010087e-05,1222.6351784999715
10,0.40620011270418765,0.3736758540645242,0.032524258752975585,0,0.8847342609571254,0.8763953292912456,0.841862012923275,0.867663867723882,0.8674954700701829,0.6489242330171496,0.4770445843490499,0.5629844086830997,0.7817196060643531,0.7582680178824225,1,0.5629844086830997,4.8135048546526525e-05,1224.073783300002
