epoch,train_loss,seg_loss,kd_loss,all_dice_wt,all_dice_tc,all_dice_et,all_mean,drop_t1ce_dice_wt,drop_t1ce_dice_tc,drop_t1ce_dice_et,drop_t1ce_tc_et,full_constraint_met,learning_rate,elapsed_sec,successful_steps,skipped_nonfinite_steps
1,0.3909057457819581,0.38558878235146404,0.005316963142025998,,,,,,,,,,5e-05,308.64374590001535,1000,0
2,0.3403586685322225,0.3371787726320326,0.003179895783467828,,,,,,,,,,4.998111138789771e-05,303.04518429999007,1000,0
3,0.32406936376169326,0.3214430274758488,0.002626336486380751,,,,,,,,,,4.9924474676461635e-05,303.1511652000481,1000,0
4,0.32276179957203566,0.32018371800892054,0.0025780815165274474,,,,,,,,,,4.9830177195395695e-05,302.85108789999504,1000,0
5,0.3066418001540005,0.3042227078545839,0.002419092637470385,0.8789285244409493,0.8802626812423757,0.8374277327254033,0.8655396461362428,0.8695053175734979,0.6468771626982402,0.4799779787253652,0.5634275707118027,True,4.969836434458087e-05,682.9363297999953,1000,0
6,0.30756501587107776,0.3050488279107958,0.0025161877185329333,,,,,,,,,,4.952923936987914e-05,306.1921780999983,1000,0
7,0.31068855813518165,0.30815909457206725,0.0025294629595973674,,,,,,,,,,4.9323063049743075e-05,303.99088209995534,1000,0
8,0.31005489313043655,0.30755584183894097,0.0024990512605851905,,,,,,,,,,4.908015329311436e-05,308.35980879998533,1000,0
9,0.30974237962812184,0.30724380256049333,0.0024985766689223964,,,,,,,,,,4.880088464923127e-05,309.92361449997406,1000,0
10,0.306003985742107,0.3035038707014173,0.002500115162551822,0.8836672027563105,0.881144535012197,0.8402226588764968,0.868344798881668,0.8750708165026857,0.6632060354827833,0.502362140729077,0.5827840881059302,True,4.848568773010087e-05,712.7407342999941,1000,0
11,0.29451459110714495,0.2921495803911239,0.00236501054136869,,,,,,,,,,4.8135048546526525e-05,303.53040739998687,1000,0
12,0.29408429984003304,0.29171104889363053,0.0023732508726927223,,,,,,,,,,4.7749507758714496e-05,306.33725499996217,1000,0
13,0.2965605021677911,0.29418087170273066,0.002379630825094523,,,,,,,,,,4.7329659842615016e-05,312.5625350000337,1000,0
14,0.29367690279893577,0.29140031299367547,0.002276589757604256,,,,,,,,,,4.687615217328354e-05,314.2470098999911,1000,0
15,0.296005051150918,0.2936123908571899,0.002392660464315213,0.8839760090291903,0.8811206597614726,0.8416377759702857,0.8689114815869828,0.8781880793375806,0.6729223569256048,0.5001516037584106,0.5865369803420077,True,4.638968402667527e-05,709.2532113000052,1000,0
16,0.2948521943166852,0.2924983810894191,0.0023538133034994644,,,,,,,,,,4.587100550141237e-05,311.2493340999936,1000,0
17,0.2885018739253283,0.2862387155331671,0.0022631580620925433,,,,,,,,,,4.5320916362186225e-05,313.75575059995754,1000,0
18,0.29468600881285967,0.29233056046254935,0.0023554477988304823,,,,,,,,,,4.474026480657826e-05,313.3070370000205,1000,0
19,0.29570870521105824,0.2933513278402388,0.0023573777857028516,,,,,,,,,,4.412994615720077e-05,313.54749500000617,1000,0
20,0.2915685972981155,0.2892953427936882,0.0022732539734408304,0.8857855117790463,0.8815694926649613,0.8408548490336314,0.8694032844925464,0.8781911790612484,0.6726985352962684,0.5075815511736299,0.5901400432349492,True,4.349090148117431e-05,699.1682960999897,1000,0
21,0.29758328253403304,0.2952074665799737,0.002375816039195172,,,,,,,,,,4.282411613907042e-05,304.5754733000067,1000,0
22,0.2864787578955293,0.2841587217655033,0.002320036126702803,,,,,,,,,,4.213061826555708e-05,304.51059959997656,1000,0
23,0.2826733990367502,0.280460367590189,0.0022130313196910265,,,,,,,,,,4.141147718408951e-05,304.7316033000243,1000,0
24,0.28970249398984016,0.28730387492477893,0.0023986186402344175,,,,,,,,,,4.066780175809094e-05,303.9813163999934,1000,0
25,0.28913116148859264,0.2868738022893667,0.0022573589715401566,0.8864210513788356,0.8827923623042654,0.8434003531750158,0.8708712556193724,0.87947199934565,0.6879709914357349,0.5250152851192897,0.6064931382775123,True,3.99007386811656e-05,682.9022940000286,1000,0
26,0.2887127452213317,0.28645447506569327,0.0022582702398781292,,,,,,,,,,3.911147070898026e-05,304.3079224000103,1000,0
27,0.2934828726984561,0.2912062545400113,0.0022766181516963684,,,,,,,,,,3.830121483554075e-05,303.5501500000246,1000,0
28,0.2791049822140485,0.27691281462833284,0.0021921676254866612,,,,,,,,,,3.747122041667541e-05,304.63103799999226,1000,0
29,0.29075790117122235,0.2883955215867609,0.0023623790952794935,,,,,,,,,,3.662276724361891e-05,303.98950409999816,1000,0
30,0.28713864357583224,0.2848533229585737,0.002285320746942887,0.888409814404204,0.8826740444620788,0.8433186208427609,0.8714674932363479,0.8807050597679507,0.685278860189109,0.523846223689919,0.604562541939514,True,3.5757163569667004e-05,684.4549637000309,1000,0
31,0.2849488424360752,0.282725522544235,0.0022233196538074367,,,,,,,,,,3.487574409294472e-05,304.59099520003656,1000,0
32,0.28762936611287293,0.28534772228263316,0.002281643978557952,,,,,,,,,,3.39798678983986e-05,304.0890827999683,1000,0
33,0.2786291405875236,0.2764652066510171,0.002163933843196105,,,,,,,,,,3.307091636218623e-05,304.96869969996624,1000,0
34,0.2938144123200327,0.29142484614066777,0.002389565751529517,,,,,,,,,,3.215029102169434e-05,303.8906403000001,1000,0
35,0.28150224759988485,0.2792426855266094,0.0022595617941019554,0.886314358319238,0.8835252934365908,0.8439680350226935,0.8712692289261742,0.8798314085496833,0.686783344356376,0.5166924914474232,0.6017379179018996,True,3.1219411414469706e-05,684.2292118999758,1000,0
36,0.28141887291520834,0.27920806530863046,0.002210807190103708,,,,,,,,,,3.0279712889395166e-05,304.00831089995336,1000,0
37,0.28357352342642844,0.281264792073518,0.0023087316017856665,,,,,,,,,,2.9332644393485677e-05,304.3665964999818,1000,0
38,0.2876939732171595,0.28539943404868245,0.0022945388849148003,,,,,,,,,,2.8379666237717044e-05,304.2231535000028,1000,0
39,0.27872826139070095,0.2764860242251307,0.00224223724057299,,,,,,,,,,2.7422247845332222e-05,304.4188906000345,1000,0
40,0.28534942779131234,0.28312254952639343,0.0022268784155478442,0.8864819445700118,0.8818986576159977,0.8441110574125537,0.8708305531995211,0.8799193369989979,0.6909357404330547,0.5315932857815491,0.6112645131073019,True,2.64618654860972e-05,684.7502168999636,1000,0
41,0.28403452822379766,0.2817349456101656,0.002299582179527533,,,,,,,,,,2.5500000000000017e-05,303.8954582000151,1000,0
42,0.2840401383638382,0.28177402425184844,0.0022661141341337723,,,,,,,,,,2.4538134513902842e-05,304.2828617999912,1000,0
43,0.29043404358811675,0.2881037766374648,0.0023302666180582037,,,,,,,,,,2.3577752154667818e-05,303.4459656000254,1000,0
44,0.2859985609650612,0.2837538803331554,0.002244680303622317,,,,,,,,,,2.2620333762282996e-05,304.30930050002644,1000,0
45,0.2873523445893079,0.2850397279970348,0.002312616335307837,0.8866018265279019,0.8787225840649757,0.8429870017420283,0.8694371374449686,0.8801502755921307,0.6909753932455948,0.5281162390545748,0.6095458161500849,True,2.1667355606514363e-05,683.6956579999533,1000,0
46,0.28202235431969164,0.27980129066109655,0.002221063730653441,,,,,,,,,,2.072028711060487e-05,304.3418455000501,1000,0
47,0.2882129670102149,0.28592018198221925,0.0022927850988673413,,,,,,,,,,1.978058858553033e-05,304.13735800003633,1000,0
48,0.2821976145245135,0.2799984477963299,0.002199166601318666,,,,,,,,,,1.8849708978305685e-05,304.9267753000022,1000,0
49,0.27527020318619905,0.2730788197014481,0.002191383322286811,,,,,,,,,,1.7929083637813798e-05,304.37054249999346,1000,0
50,0.2834540741313249,0.28119786991737783,0.0022562037349472346,0.887735172700384,0.8831298920775442,0.8445069456130261,0.8717906701303182,0.8802921925383622,0.6914868196111105,0.5312604943244531,0.6113736569677818,True,1.7020132101601433e-05,686.390114800015,1000,0
51,0.28180243337340655,0.2795671325940639,0.002235301474122366,,,,,,,,,,1.6124255907055306e-05,304.286202599993,1000,0
52,0.2805858669951558,0.27838929392024875,0.00219657295459848,,,,,,,,,,1.5242836430333023e-05,304.6601738000172,1000,0
53,0.2857252979706973,0.283425686750561,0.0022996114448681623,,,,,,,,,,1.4377232756381109e-05,304.134082900011,1000,0
54,0.2820713115092367,0.27980771487019956,0.0022635973358442244,,,,,,,,,,1.3528779583324605e-05,304.31459140003426,1000,0
55,0.278139601778239,0.27595997404679656,0.002179627703318488,0.8865533551024198,0.8823908463912011,0.8433956515435308,0.8707799510123838,0.8794831350553757,0.6902343741267816,0.5282898142624294,0.6092620941946054,True,1.2698785164459258e-05,685.7467290999484,1000,0
56,0.28060372271388767,0.2783841736912727,0.002219549168449987,,,,,,,,,,1.1888529291019747e-05,304.20686579996254,1000,0
57,0.27555233845487237,0.2733677761405706,0.002184562454192928,,,,,,,,,,1.1099261318834413e-05,304.55606529995566,1000,0
58,0.2814388422369957,0.2792208204269409,0.002218021712361065,,,,,,,,,,1.0332198241909076e-05,303.726402100001,1000,0
59,0.2790934667531401,0.27691084522008896,0.0021826216303477393,,,,,,,,,,9.588522815910505e-06,303.2481809000019,1000,0
60,0.27950264744274317,0.2773092585522681,0.0021933888961721097,0.8875671058460696,0.8824216508804226,0.8444545962043869,0.8714811176436265,0.880269783349769,0.6946500615488487,0.5341120393548194,0.6143810504518341,True,8.869381734442936e-06,676.9554745000205,1000,0
61,0.2726836525034159,0.27056626104936005,0.002117391414544102,,,,,,,,,,8.175883860929588e-06,304.2123086999636,1000,0
62,0.2791799126453698,0.27694018067233267,0.0022397323546886694,,,,,,,,,,7.5090985188257035e-06,303.60525469999993,1000,0
