epoch,train_loss,learning_rate,elapsed_sec,val_dice_tc,val_dice_wt,val_dice_et,val_mean_dice,is_best
1,0.9366184198856353,4.000000000000001e-06,381.45915109999623,,,,,False
2,0.916158745586872,8.000000000000001e-06,352.73436539999966,,,,,False
3,0.9062080762386322,1.2e-05,6032.352475200001,,,,,False
4,0.8957652488350868,1.6000000000000003e-05,358.9284001999986,,,,,False
5,0.8821218148469925,2e-05,670.3560865000036,0.3957934170395526,0.47919713578909484,0.0052466574865537964,0.2934124034384004,True
6,0.8617956384420394,2.4e-05,353.1175483000043,,,,,False
7,0.8276619064807892,2.8000000000000003e-05,37348.014865,,,,,False
8,0.7724827472567558,3.2000000000000005e-05,355.90493770000467,,,,,False
9,0.7057931948006153,3.6e-05,354.51186129999405,,,,,False
10,0.6280961774736643,4e-05,696.165859700006,0.7755838767660945,0.7836892142305254,0.5760682574223656,0.7117804494729952,True
11,0.5438805098831654,4.4000000000000006e-05,358.68545319999976,,,,,False
12,0.46206091581285,4.8e-05,359.3900100000028,,,,,False
13,0.38512911783158776,5.2000000000000004e-05,356.22555100001046,,,,,False
14,0.3217220452427864,5.6000000000000006e-05,354.81787850000546,,,,,False
15,0.2798333444073796,6e-05,693.8591186000122,0.8538519670224103,0.8652046910752245,0.8163806965364845,0.8451457848780398,True
16,0.24984155245497822,6.400000000000001e-05,353.27437799998734,,,,,False
17,0.23045851585268975,6.800000000000001e-05,353.6153229000047,,,,,False
18,0.21405433971993626,7.2e-05,354.3228167999914,,,,,False
19,0.20960272622667253,7.6e-05,354.40174729999853,,,,,False
20,0.19641109018214048,8e-05,692.9666525999928,0.8552902455671112,0.8661370332051178,0.8369150158725494,0.8527807648815928,True
21,0.19515953354537488,8.4e-05,354.8774989000085,,,,,False
22,0.19516731020621955,8.800000000000001e-05,355.28141860000324,,,,,False
23,0.18856377388723194,9.200000000000001e-05,357.55516889999853,,,,,False
24,0.1783959688320756,9.6e-05,355.19074640001054,,,,,False
25,0.1813657651785761,0.0001,692.546010799997,0.8287791159087905,0.8693271212111344,0.8212499197778317,0.8397853856325855,False
26,0.17727123412117363,9.9984209464165e-05,354.43878199999745,,,,,False
27,0.17276580266654493,9.993684783030088e-05,353.28169399999024,,,,,False
28,0.17306871405802668,9.98579450130307e-05,354.22290110000176,,,,,False
29,0.16741167753376066,9.974755084906502e-05,355.1679720999964,,,,,False
30,0.16894464384019375,9.96057350657239e-05,693.6517375999974,0.8630569389781165,0.8740109641864846,0.8296634044604109,0.8555771025416706,True
31,0.17109709166921674,9.94325872368957e-05,355.16042119999474,,,,,False
32,0.1639424418080598,9.922821672646027e-05,354.5634282000101,,,,,False
33,0.16519086139090358,9.899275261921234e-05,354.325857799995,,,,,False
34,0.16000602802354844,9.872634363932887e-05,353.7859036000009,,,,,False
35,0.1600079381875694,9.842915805643155e-05,664.4581899000041,0.8711328093581955,0.8754109998000064,0.8385945187241505,0.861712775960784,True
36,0.1574431853434071,9.81013835793043e-05,352.5786961999984,,,,,False
37,0.15677326393779367,9.774322723733216e-05,352.6856206000084,,,,,False
38,0.15735247663781046,9.735491524973722e-05,352.5092663000105,,,,,False
39,0.15803063835203648,9.693669288269372e-05,352.3198121999885,,,,,False
40,0.152608764545992,9.648882429441257e-05,664.7501763000037,0.8616478529231847,0.8694189309688034,0.8343505829619303,0.8551391222846395,False
41,0.15493718631006778,9.601159236829352e-05,352.2029795999988,,,,,False
42,0.15164701641071587,9.550529853424979e-05,352.29999920001137,,,,,False
43,0.15293584380578248,9.497026257831855e-05,352.2579201000044,,,,,False
44,0.14957748842798174,9.440682244067724e-05,352.3170561000006,,,,,False
45,0.14831334816664457,9.381533400219318e-05,664.5561186999985,0.8648271361202957,0.8772121149128421,0.8381708319101334,0.8600700276477572,False
46,0.14617438028380275,9.319617085964176e-05,352.3191472000035,,,,,False
47,0.15171037301421164,9.254972408973461e-05,352.4675409000047,,,,,False
48,0.14698241085372865,9.18764020021071e-05,352.24336480000056,,,,,False
49,0.1449597669672221,9.117662988142138e-05,352.2785307999875,,,,,False
50,0.1462688638744876,9.045084971874738e-05,663.7320091000001,0.8725048353919281,0.8827139407501944,0.8416469102036219,0.8656218954485815,True
51,0.14473092926479875,8.969951993239177e-05,352.20690819999436,,,,,False
52,0.14326424570847301,8.892311507835119e-05,352.34337109999615,,,,,False
53,0.1413773760413751,8.81221255505724e-05,352.2710000000079,,,,,False
54,0.14221662809327246,8.729705727120911e-05,352.37575880000077,,,,,False
55,0.1409763362267986,8.644843137107059e-05,664.2079165999894,0.8725369706832591,0.8710229197683323,0.8334089337608783,0.8589896080708233,False
56,0.14091509384475648,8.557678386046427e-05,352.17122499999823,,,,,False
57,0.1407149279555306,8.468266529064025e-05,352.29564279998885,,,,,False
58,0.13888444750662893,8.376664040605122e-05,352.3329389999999,,,,,False
59,0.13959237472619862,8.282928778764783e-05,352.30953990000125,,,,,False
60,0.1377152589811012,8.18711994874345e-05,664.6912929999962,0.8686766106793954,0.8746727674878404,0.8200468842960512,0.8544654208210957,False
61,0.13730345010012387,8.089298065451672e-05,352.3455912999925,,,,,False
62,0.13804644460976123,7.989524915287595e-05,352.3587065000029,,,,,False
63,0.13583560432493685,7.887863517111338e-05,352.35378829999536,,,,,False
64,0.13389504103269428,7.784378082440941e-05,352.37670660000003,,,,,False
65,0.13436391715705395,7.679133974894983e-05,664.4819378000102,0.8721635179381376,0.8729521053629915,0.8360596496258814,0.8603917576423369,False
66,0.13403040695935486,7.572197668907532e-05,352.3754037999897,,,,,False
67,0.13398659506067634,7.463636707741458e-05,352.2456192999962,,,,,False
68,0.13347621118929237,7.353519660826665e-05,352.3375476000074,,,,,False
69,0.1304279816960916,7.241916080450163e-05,352.3586515000061,,,,,False
70,0.1301716232178733,7.128896457825364e-05,663.7913616999867,0.8759649314394803,0.8814774986226778,0.8399641836074596,0.8658022045565392,True
71,0.131680166862905,7.014532178568314e-05,352.4073008999985,,,,,False
72,0.12981456902623176,6.898895477609007e-05,352.3691126000049,,,,,False
73,0.1292979631209746,6.782059393566253e-05,352.4936405000044,,,,,False
74,0.129626390542835,6.664097722614934e-05,352.42923029999656,,,,,False
75,0.12968522277381273,6.545084971874738e-05,664.0224989999988,0.8697825504072976,0.8761808778012273,0.8381304958350673,0.8613646413478641,False
76,0.1287842757087201,6.42509631234988e-05,352.36236780000036,,,,,False
77,0.12848396643809973,6.304207531449486e-05,352.4107020999945,,,,,False
78,0.12777157041896134,6.182494985118624e-05,352.4083154000109,,,,,False
79,0.12746730067487805,6.0600355496102745e-05,352.29659650000394,,,,,False
80,0.1267532756747678,5.9369065729286245e-05,664.3298969000025,0.8751494089587627,0.8778333060676993,0.8301191789347733,0.8610339646537449,False
81,0.12596343488339334,5.813185825974419e-05,352.4093795999943,,,,,False
82,0.12488189833983779,5.68895145342319e-05,352.35119240000495,,,,,False
83,0.12601438760850578,5.564281924367408e-05,352.38202640000964,,,,,False
84,0.12563552630413324,5.439255982753717e-05,352.3253440999979,,,,,False
85,0.12515372656844556,5.313952597646568e-05,664.2016445000045,0.8767294131881604,0.8798732914304058,0.8385159951925634,0.8650395666037097,False
86,0.12275887190550566,5.188450913349674e-05,352.3763028999965,,,,,False
87,0.12266513477731496,5.062830199416764e-05,352.32031510000525,,,,,False
88,0.12301128478627651,4.9371698005832365e-05,352.41939330000605,,,,,False
89,0.12323190860729664,4.811549086650327e-05,352.3816456999921,,,,,False
90,0.1226318694697693,4.6860474023534335e-05,664.4670788999938,0.876093210281667,0.8795643381024416,0.8386183643726787,0.8647586375855957,False
91,0.12187822514493019,4.560744017246284e-05,352.3787769000046,,,,,False
92,0.1215562593396753,4.435718075632592e-05,352.43910039999173,,,,,False
93,0.12117192573286593,4.31104854657681e-05,352.34302800000296,,,,,False
94,0.12132608548179269,4.1868141740255823e-05,352.5365374999965,,,,,False
95,0.12118967111594975,4.063093427071376e-05,664.4857550000015,0.875646929417973,0.8802231050045856,0.8380652205867553,0.8646450850031046,False
96,0.1209095679242164,3.939964450389728e-05,352.3280036000069,,,,,False
97,0.12037910160515457,3.817505014881378e-05,352.25360960001126,,,,,False
98,0.11998167130444198,3.6957924685505167e-05,352.26578750000044,,,,,False
99,0.1196370330923237,3.5749036876501194e-05,352.1852244000038,,,,,False
100,0.11911611197143793,3.4549150281252636e-05,664.1219756999926,0.8745583465898297,0.8760100381167767,0.8343907693893851,0.8616530513653305,False
101,0.11898094392288476,3.335902277385067e-05,352.24583699999494,,,,,False
102,0.1187185245170258,3.217940606433747e-05,352.4528331000038,,,,,False
103,0.11853737194789574,3.101104522390995e-05,352.29087670000445,,,,,False
104,0.11821156456507742,2.9854678214316873e-05,352.3981402000063,,,,,False
105,0.11739114313013851,2.8711035421746367e-05,664.303906400004,0.8756073067716472,0.8791179710756167,0.8378404491077277,0.864188575651664,False
106,0.1172805981207639,2.7580839195498398e-05,352.2374698000058,,,,,False
107,0.11709343690332025,2.6464803391733374e-05,352.29773269999714,,,,,False
108,0.1165762554500252,2.536363292258543e-05,352.31125939999765,,,,,False
109,0.11607694794004783,2.4278023310924673e-05,352.36354539998865,,,,,False
110,0.1161149390572682,2.3208660251050158e-05,667.5619825000031,0.873503709885601,0.8793816788832153,0.8293605966289067,0.8607486617992409,False
111,0.11615381804900243,2.215621917559062e-05,352.27961250000226,,,,,False
112,0.11581528734602034,2.112136482888663e-05,352.4390095999988,,,,,False
113,0.11581733914930373,2.0104750847124075e-05,352.35418209999625,,,,,False
114,0.11540731933992356,1.910701934548329e-05,352.28059699998994,,,,,False
115,0.11471065645664931,1.8128800512565513e-05,664.2145317999966,0.8752346892577311,0.8798748815125862,0.831619710496883,0.8622430937557334,False
116,0.11474567272746936,1.7170712212352187e-05,352.3613602999976,,,,,False
117,0.11458471404574812,1.6233359593948783e-05,352.32853169999726,,,,,False
118,0.11451716874307022,1.5317334709359766e-05,352.45674160000635,,,,,False
119,0.11391044302470982,1.4423216139535734e-05,352.38786919999984,,,,,False
120,0.11415879614884034,1.3551568628929434e-05,664.112896199993,0.8748467602040036,0.8802374401484631,0.837391127797815,0.8641584427167605,False
